Sample in Buffer,Sample in Window,TRIGGER,Proyecto_1_sep_i/RAM_test_0_seno[7:0],Proyecto_1_sep_i/comp_cuadrada_0_cuadrada[7:0],Proyecto_1_sep_i/Triangular_0_triangulada[7:0],Proyecto_1_sep_i/Dientes_de_sierra_0_sierra[7:0],Proyecto_1_sep_i/Sel_funcion_0_funcion_a[7:0],Proyecto_1_sep_i/Sel_funcion_0_funcion_b[7:0],Proyecto_1_sep_i/Math_0_f_out[15:0]
641,641,0,00,00,00,00,00,00,0000
642,642,0,00,00,00,00,00,00,0000
643,643,0,00,00,00,00,00,00,0000
644,644,0,00,00,00,00,00,00,0000
645,645,0,00,00,00,00,00,00,0000
646,646,0,00,00,00,00,00,00,0000
647,647,0,00,00,00,00,00,00,0000
648,648,0,00,00,00,00,00,00,0000
649,649,0,00,00,00,00,00,00,0000
650,650,0,00,00,00,00,00,00,0000
651,651,0,00,00,00,00,00,00,0000
652,652,0,00,00,00,00,00,00,0000
653,653,0,00,00,00,00,00,00,0000
654,654,0,00,00,00,00,00,00,0000
655,655,0,00,00,00,00,00,00,0000
656,656,0,00,00,00,00,00,00,0000
657,657,0,00,00,00,00,00,00,0000
658,658,0,00,00,00,00,00,00,0000
659,659,0,00,00,00,00,00,00,0000
660,660,0,00,00,00,00,00,00,0000
661,661,0,00,00,00,00,00,00,0000
662,662,0,00,00,00,00,00,00,0000
663,663,0,00,00,00,00,00,00,0000
664,664,0,00,00,00,00,00,00,0000
665,665,0,00,00,00,00,00,00,0000
666,666,0,00,00,00,00,00,00,0000
667,667,0,00,00,00,00,00,00,0000
668,668,0,00,00,00,00,00,00,0000
669,669,0,00,00,00,00,00,00,0000
670,670,0,00,00,00,00,00,00,0000
671,671,0,00,00,00,00,00,00,0000
672,672,0,00,00,00,00,00,00,0000
673,673,0,00,00,00,00,00,00,0000
674,674,0,00,00,00,00,00,00,0000
675,675,0,00,00,00,00,00,00,0000
676,676,0,00,00,00,00,00,00,0000
677,677,0,00,00,00,00,00,00,0000
678,678,0,00,00,00,00,00,00,0000
679,679,0,00,00,00,00,00,00,0000
680,680,0,00,00,00,00,00,00,0000
681,681,0,00,00,00,00,00,00,0000
682,682,0,00,00,00,00,00,00,0000
683,683,0,00,00,00,00,00,00,0000
684,684,0,00,00,00,00,00,00,0000
685,685,0,00,00,00,00,00,00,0000
686,686,0,00,00,00,00,00,00,0000
687,687,0,00,00,00,00,00,00,0000
688,688,0,00,00,00,00,00,00,0000
689,689,0,00,00,00,00,00,00,0000
690,690,0,00,00,00,00,00,00,0000
691,691,0,00,00,00,00,00,00,0000
692,692,0,00,00,00,00,00,00,0000
693,693,0,00,00,00,00,00,00,0000
694,694,0,00,00,00,00,00,00,0000
695,695,0,00,00,00,00,00,00,0000
696,696,0,00,00,00,00,00,00,0000
697,697,0,00,00,00,00,00,00,0000
698,698,0,00,00,00,00,00,00,0000
699,699,0,00,00,00,00,00,00,0000
700,700,0,00,00,00,00,00,00,0000
701,701,0,00,00,00,00,00,00,0000
702,702,0,00,00,00,00,00,00,0000
703,703,0,00,00,00,00,00,00,0000
704,704,0,00,00,00,00,00,00,0000
705,705,0,00,00,00,00,00,00,0000
706,706,0,00,00,00,00,00,00,0000
707,707,0,00,00,00,00,00,00,0000
708,708,0,00,00,00,00,00,00,0000
709,709,0,00,00,00,00,00,00,0000
710,710,0,00,00,00,00,00,00,0000
711,711,0,00,00,00,00,00,00,0000
712,712,0,00,00,00,00,00,00,0000
713,713,0,00,00,00,00,00,00,0000
714,714,0,00,00,00,00,00,00,0000
715,715,0,00,00,00,00,00,00,0000
716,716,0,00,00,00,00,00,00,0000
717,717,0,00,00,00,00,00,00,0000
718,718,0,00,00,00,00,00,00,0000
719,719,0,00,00,00,00,00,00,0000
720,720,0,00,00,00,00,00,00,0000
721,721,0,00,00,00,00,00,00,0000
722,722,0,00,00,00,00,00,00,0000
723,723,0,00,00,00,00,00,00,0000
724,724,0,00,00,00,00,00,00,0000
725,725,0,00,00,00,00,00,00,0000
726,726,0,00,00,00,00,00,00,0000
727,727,0,00,00,00,00,00,00,0000
728,728,0,00,00,00,00,00,00,0000
729,729,0,00,00,00,00,00,00,0000
730,730,0,00,00,00,00,00,00,0000
731,731,0,00,00,00,00,00,00,0000
732,732,0,00,00,00,00,00,00,0000
733,733,0,00,00,00,00,00,00,0000
734,734,0,00,00,00,00,00,00,0000
735,735,0,00,00,00,00,00,00,0000
736,736,0,00,00,00,00,00,00,0000
737,737,0,00,00,00,00,00,00,0000
738,738,0,00,00,00,00,00,00,0000
739,739,0,00,00,00,00,00,00,0000
740,740,0,00,00,00,00,00,00,0000
741,741,0,00,00,00,00,00,00,0000
742,742,0,00,00,00,00,00,00,0000
743,743,0,00,00,00,00,00,00,0000
744,744,0,00,00,00,00,00,00,0000
745,745,0,00,00,00,00,00,00,0000
746,746,0,00,00,00,00,00,00,0000
747,747,0,00,00,00,00,00,00,0000
748,748,0,00,00,00,00,00,00,0000
749,749,0,00,00,00,00,00,00,0000
750,750,0,00,00,00,00,00,00,0000
751,751,0,00,00,00,00,00,00,0000
752,752,0,00,00,00,00,00,00,0000
753,753,0,00,00,00,00,00,00,0000
754,754,0,00,00,00,00,00,00,0000
755,755,0,00,00,00,00,00,00,0000
756,756,0,00,00,00,00,00,00,0000
757,757,0,00,00,00,00,00,00,0000
758,758,0,00,00,00,00,00,00,0000
759,759,0,00,00,00,00,00,00,0000
760,760,0,00,00,00,00,00,00,0000
761,761,0,00,00,00,00,00,00,0000
762,762,0,00,00,00,00,00,00,0000
763,763,0,00,00,00,00,00,00,0000
764,764,0,00,00,00,00,00,00,0000
765,765,0,00,00,00,00,00,00,0000
766,766,0,00,00,00,00,00,00,0000
767,767,0,00,00,00,00,00,00,0000
768,768,0,00,00,00,00,00,00,0000
769,769,0,00,00,00,00,00,00,0000
770,770,0,00,00,00,00,00,00,0000
771,771,0,00,00,00,00,00,00,0000
772,772,0,00,00,00,00,00,00,0000
773,773,0,00,00,00,00,00,00,0000
774,774,0,00,00,00,00,00,00,0000
775,775,0,00,00,00,00,00,00,0000
776,776,0,00,00,00,00,00,00,0000
777,777,0,00,00,00,00,00,00,0000
778,778,0,00,00,00,00,00,00,0000
779,779,0,00,00,00,00,00,00,0000
780,780,0,00,00,00,00,00,00,0000
781,781,0,00,00,00,00,00,00,0000
782,782,0,00,00,00,00,00,00,0000
783,783,0,00,00,00,00,00,00,0000
784,784,0,00,00,00,00,00,00,0000
785,785,0,00,00,00,00,00,00,0000
786,786,0,00,00,00,00,00,00,0000
787,787,0,00,00,00,00,00,00,0000
788,788,0,00,00,00,00,00,00,0000
789,789,0,00,00,00,00,00,00,0000
790,790,0,00,00,00,00,00,00,0000
791,791,0,00,00,00,00,00,00,0000
792,792,0,00,00,00,00,00,00,0000
793,793,0,00,00,00,00,00,00,0000
794,794,0,00,00,00,00,00,00,0000
795,795,0,00,00,00,00,00,00,0000
796,796,0,00,00,00,00,00,00,0000
797,797,0,00,00,00,00,00,00,0000
798,798,0,00,00,00,00,00,00,0000
799,799,0,00,00,00,00,00,00,0000
800,800,0,00,00,00,00,00,00,0000
801,801,0,00,00,00,00,00,00,0000
802,802,0,00,00,00,00,00,00,0000
803,803,0,00,00,00,00,00,00,0000
804,804,0,00,00,00,00,00,00,0000
805,805,0,00,00,00,00,00,00,0000
806,806,0,00,00,00,00,00,00,0000
807,807,0,00,00,00,00,00,00,0000
808,808,0,00,00,00,00,00,00,0000
809,809,0,00,00,00,00,00,00,0000
810,810,0,00,00,00,00,00,00,0000
811,811,0,00,00,00,00,00,00,0000
812,812,0,00,00,00,00,00,00,0000
813,813,0,00,00,00,00,00,00,0000
814,814,0,00,00,00,00,00,00,0000
815,815,0,00,00,00,00,00,00,0000
816,816,0,00,00,00,00,00,00,0000
817,817,0,00,00,00,00,00,00,0000
818,818,0,00,00,00,00,00,00,0000
819,819,0,00,00,00,00,00,00,0000
820,820,0,00,00,00,00,00,00,0000
821,821,0,00,00,00,00,00,00,0000
822,822,0,00,00,00,00,00,00,0000
823,823,0,00,00,00,00,00,00,0000
824,824,0,00,00,00,00,00,00,0000
825,825,0,00,00,00,00,00,00,0000
826,826,0,00,00,00,00,00,00,0000
827,827,0,00,00,00,00,00,00,0000
828,828,0,00,00,00,00,00,00,0000
829,829,0,00,00,00,00,00,00,0000
830,830,0,00,00,00,00,00,00,0000
831,831,0,00,00,00,00,00,00,0000
832,832,0,00,00,00,00,00,00,0000
833,833,0,00,00,00,00,00,00,0000
834,834,0,00,00,00,00,00,00,0000
835,835,0,00,00,00,00,00,00,0000
836,836,0,00,00,00,00,00,00,0000
837,837,0,00,00,00,00,00,00,0000
838,838,0,00,00,00,00,00,00,0000
839,839,0,00,00,00,00,00,00,0000
840,840,0,00,00,00,00,00,00,0000
841,841,0,00,00,00,00,00,00,0000
842,842,0,00,00,00,00,00,00,0000
843,843,0,00,00,00,00,00,00,0000
844,844,0,00,00,00,00,00,00,0000
845,845,0,00,00,00,00,00,00,0000
846,846,0,00,00,00,00,00,00,0000
847,847,0,00,00,00,00,00,00,0000
848,848,0,00,00,00,00,00,00,0000
849,849,0,00,00,00,00,00,00,0000
850,850,0,00,00,00,00,00,00,0000
851,851,0,00,00,00,00,00,00,0000
852,852,0,00,00,00,00,00,00,0000
853,853,0,00,00,00,00,00,00,0000
854,854,0,00,00,00,00,00,00,0000
855,855,0,00,00,00,00,00,00,0000
856,856,0,00,00,00,00,00,00,0000
857,857,0,00,00,00,00,00,00,0000
858,858,0,00,00,00,00,00,00,0000
859,859,0,00,00,00,00,00,00,0000
860,860,0,00,00,00,00,00,00,0000
861,861,0,00,00,00,00,00,00,0000
862,862,0,00,00,00,00,00,00,0000
863,863,0,00,00,00,00,00,00,0000
864,864,0,00,00,00,00,00,00,0000
865,865,0,00,00,00,00,00,00,0000
866,866,0,00,00,00,00,00,00,0000
867,867,0,00,00,00,00,00,00,0000
868,868,0,00,00,00,00,00,00,0000
869,869,0,00,00,00,00,00,00,0000
870,870,0,00,00,00,00,00,00,0000
871,871,0,00,00,00,00,00,00,0000
872,872,0,00,00,00,00,00,00,0000
873,873,0,00,00,00,00,00,00,0000
874,874,0,00,00,00,00,00,00,0000
875,875,0,00,00,00,00,00,00,0000
876,876,0,00,00,00,00,00,00,0000
877,877,0,00,00,00,00,00,00,0000
878,878,0,00,00,00,00,00,00,0000
879,879,0,00,00,00,00,00,00,0000
880,880,0,00,00,00,00,00,00,0000
881,881,0,00,00,00,00,00,00,0000
882,882,0,00,00,00,00,00,00,0000
883,883,0,00,00,00,00,00,00,0000
884,884,0,00,00,00,00,00,00,0000
885,885,0,00,00,00,00,00,00,0000
886,886,0,00,00,00,00,00,00,0000
887,887,0,00,00,00,00,00,00,0000
888,888,0,00,00,00,00,00,00,0000
889,889,0,00,00,00,00,00,00,0000
890,890,0,00,00,00,00,00,00,0000
891,891,0,00,00,00,00,00,00,0000
892,892,0,00,00,00,00,00,00,0000
893,893,0,00,00,00,00,00,00,0000
894,894,0,00,00,00,00,00,00,0000
895,895,0,00,00,00,00,00,00,0000
896,896,0,00,00,00,00,00,00,0000
897,897,0,00,00,00,00,00,00,0000
898,898,0,00,00,00,00,00,00,0000
899,899,0,00,00,00,00,00,00,0000
900,900,0,00,00,00,00,00,00,0000
901,901,0,00,00,00,00,00,00,0000
902,902,0,00,00,00,00,00,00,0000
903,903,0,00,00,00,00,00,00,0000
904,904,0,00,00,00,00,00,00,0000
905,905,0,00,00,00,00,00,00,0000
906,906,0,00,00,00,00,00,00,0000
907,907,0,00,00,00,00,00,00,0000
908,908,0,00,00,00,00,00,00,0000
909,909,0,00,00,00,00,00,00,0000
910,910,0,00,00,00,00,00,00,0000
911,911,0,00,00,00,00,00,00,0000
912,912,0,00,00,00,00,00,00,0000
913,913,0,00,00,00,00,00,00,0000
914,914,0,00,00,00,00,00,00,0000
915,915,0,00,00,00,00,00,00,0000
916,916,0,00,00,00,00,00,00,0000
917,917,0,00,00,00,00,00,00,0000
918,918,0,00,00,00,00,00,00,0000
919,919,0,00,00,00,00,00,00,0000
920,920,0,00,00,00,00,00,00,0000
921,921,0,00,00,00,00,00,00,0000
922,922,0,00,00,00,00,00,00,0000
923,923,0,00,00,00,00,00,00,0000
924,924,0,00,00,00,00,00,00,0000
925,925,0,00,00,00,00,00,00,0000
926,926,0,00,00,00,00,00,00,0000
927,927,0,00,00,00,00,00,00,0000
928,928,0,00,00,00,00,00,00,0000
929,929,0,00,00,00,00,00,00,0000
930,930,0,00,00,00,00,00,00,0000
931,931,0,00,00,00,00,00,00,0000
932,932,0,00,00,00,00,00,00,0000
933,933,0,00,00,00,00,00,00,0000
934,934,0,00,00,00,00,00,00,0000
935,935,0,00,00,00,00,00,00,0000
936,936,0,00,00,00,00,00,00,0000
937,937,0,00,00,00,00,00,00,0000
938,938,0,00,00,00,00,00,00,0000
939,939,0,00,00,00,00,00,00,0000
940,940,0,00,00,00,00,00,00,0000
941,941,0,00,00,00,00,00,00,0000
942,942,0,00,00,00,00,00,00,0000
943,943,0,00,00,00,00,00,00,0000
944,944,0,00,00,00,00,00,00,0000
945,945,0,00,00,00,00,00,00,0000
946,946,0,00,00,00,00,00,00,0000
947,947,0,00,00,00,00,00,00,0000
948,948,0,00,00,00,00,00,00,0000
949,949,0,00,00,00,00,00,00,0000
950,950,0,00,00,00,00,00,00,0000
951,951,0,00,00,00,00,00,00,0000
952,952,0,00,00,00,00,00,00,0000
953,953,0,00,00,00,00,00,00,0000
954,954,0,00,00,00,00,00,00,0000
955,955,0,00,00,00,00,00,00,0000
956,956,0,00,00,00,00,00,00,0000
957,957,0,00,00,00,00,00,00,0000
958,958,0,00,00,00,00,00,00,0000
959,959,0,00,00,00,00,00,00,0000
960,960,0,00,00,00,00,00,00,0000
961,961,0,00,00,00,00,00,00,0000
962,962,0,00,00,00,00,00,00,0000
963,963,0,00,00,00,00,00,00,0000
964,964,0,00,00,00,00,00,00,0000
965,965,0,00,00,00,00,00,00,0000
966,966,0,00,00,00,00,00,00,0000
967,967,0,00,00,00,00,00,00,0000
968,968,0,00,00,00,00,00,00,0000
969,969,0,00,00,00,00,00,00,0000
970,970,0,00,00,00,00,00,00,0000
971,971,0,00,00,00,00,00,00,0000
972,972,0,00,00,00,00,00,00,0000
973,973,0,00,00,00,00,00,00,0000
974,974,0,00,00,00,00,00,00,0000
975,975,0,00,00,00,00,00,00,0000
976,976,0,00,00,00,00,00,00,0000
977,977,0,00,00,00,00,00,00,0000
978,978,0,00,00,00,00,00,00,0000
979,979,0,00,00,00,00,00,00,0000
980,980,0,00,00,00,00,00,00,0000
981,981,0,00,00,00,00,00,00,0000
982,982,0,00,00,00,00,00,00,0000
983,983,0,00,00,00,00,00,00,0000
984,984,0,00,00,00,00,00,00,0000
985,985,0,00,00,00,00,00,00,0000
986,986,0,00,00,00,00,00,00,0000
987,987,0,00,00,00,00,00,00,0000
988,988,0,00,00,00,00,00,00,0000
989,989,0,00,00,00,00,00,00,0000
990,990,0,00,00,00,00,00,00,0000
991,991,0,00,00,00,00,00,00,0000
992,992,0,00,00,00,00,00,00,0000
993,993,0,00,00,00,00,00,00,0000
994,994,0,00,00,00,00,00,00,0000
995,995,0,00,00,00,00,00,00,0000
996,996,0,00,00,00,00,00,00,0000
997,997,0,00,00,00,00,00,00,0000
998,998,0,00,00,00,00,00,00,0000
999,999,0,00,00,00,00,00,00,0000
1000,1000,0,00,00,00,00,00,00,0000
1001,1001,0,00,00,00,00,00,00,0000
1002,1002,0,00,00,00,00,00,00,0000
1003,1003,0,00,00,00,00,00,00,0000
1004,1004,0,00,00,00,00,00,00,0000
1005,1005,0,00,00,00,00,00,00,0000
1006,1006,0,00,00,00,00,00,00,0000
1007,1007,0,00,00,00,00,00,00,0000
1008,1008,0,00,00,00,00,00,00,0000
1009,1009,0,00,00,00,00,00,00,0000
1010,1010,0,00,00,00,00,00,00,0000
1011,1011,0,00,00,00,00,00,00,0000
1012,1012,0,00,00,00,00,00,00,0000
1013,1013,0,00,00,00,00,00,00,0000
1014,1014,0,00,00,00,00,00,00,0000
1015,1015,0,00,00,00,00,00,00,0000
1016,1016,0,00,00,00,00,00,00,0000
1017,1017,0,00,00,00,00,00,00,0000
1018,1018,0,00,00,00,00,00,00,0000
1019,1019,0,00,00,00,00,00,00,0000
1020,1020,0,00,00,00,00,00,00,0000
1021,1021,0,00,00,00,00,00,00,0000
1022,1022,0,00,00,00,00,00,00,0000
1023,1023,0,00,00,00,00,00,00,0000
